Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
61,9326,94,2,3,0,9,0,11,0,94,2,14.8693,-91.6211
113,9393,80,2,2,0,22,0,1,0,80,2,7.85,3.933
75,9407,48,0,1,0,45,0,0,0,48,0,36.7167,15.1
69,9419,156,3,1,0,33,0,0,0,156,3,22.23,73.08
54,9435,27,0,0,0,27,0,0,0,10,0,-5.0911,-81.1064
122,9495,55,2,1,0,20,0,0,0,55,2,11.1583,124.9917
33,9523,76,2,3,0,32,0,2,0,76,2,42.9392,126.0561
22,9542,36,0,1,0,2,0,0,0,36,0,-2.9958,-47.3528
121,9549,41,0,1,0,18,0,1,0,41,0,-10.6744,-77.8186
166,9572,56,2,1,0,44,0,4,0,56,2,39.3832,-76.5519
166,9587,58,2,1,0,43,0,5,0,58,2,29.6575,-95.1498
166,9609,45,0,1,0,32,0,7,0,45,0,40.011,-82.7155
79,9637,50,0,1,0,41,0,0,0,50,0,52.3,76.95
166,9681,46,0,1,0,46,0,2,0,31,0,40.9,-73.8063
100,9723,77,2,3,0,7,0,8,0,77,2,19.562,-97.242
136,9764,63,2,1,0,33,0,1,0,63,2,45.25,19.8667
155,9782,59,2,1,0,27,0,0,0,59,2,7.5,100.0
155,9786,35,0,0,0,17,0,0,0,35,0,13.1119,99.9458
69,9791,444,1,2,0,111,3,1,0,391,1,31.03,75.78
47,10733,60,2,2,0,60,1,3,0,55,2,31.4044,30.4164
75,10740,48,0,1,0,48,0,0,0,12,0,39.5667,16.6333
130,10745,32,0,1,0,32,0,0,0,26,0,47.2333,39.7
164,10773,56,2,0,0,32,0,1,0,56,2,53.566,-2.121
58,10789,32,0,1,0,32,0,1,0,30,0,50.7169,11.3275
41,10794,29,0,0,0,29,0,2,0,29,0,50.9516,14.5571
93,10798,28,0,0,0,19,0,0,0,28,0,-11.0167,33.8667
22,10819,18,0,0,0,8,0,0,0,18,0,-12.2839,-40.4939
77,10897,40,0,1,0,40,0,2,0,34,0,34.5167,135.85
164,10918,58,2,0,0,32,0,1,0,58,2,53.483,-2.2931
22,10943,30,0,0,0,16,0,1,0,30,0,-12.9747,-38.4767
159,10971,36,0,1,0,36,0,0,0,30,0,41.2903,36.3336
70,10115,49,0,1,0,30,0,0,0,49,0,-3.4328,104.2356
22,10142,32,0,1,0,14,0,1,0,32,0,-22.1256,-51.3889
166,10149,28,0,1,0,22,0,4,0,28,0,30.7735,-88.1301
29,10158,21,0,1,0,21,0,1,0,13,0,53.9169,-122.7494
121,10190,30,0,1,0,1,0,0,0,30,0,-8.3833,-74.55
146,10223,32,0,1,0,30,0,1,0,32,0,38.6833,-4.1167
74,10289,80,2,1,0,62,1,4,0,80,2,31.6061,34.7717
32,10327,182,3,14,0,1,0,23,0,182,3,-32.8667,-71.25
69,10360,356,1,1,0,60,1,0,0,284,5,24.82,84.65
166,10364,62,2,1,0,44,0,5,0,62,2,40.6077,-74.2807
69,9805,226,5,1,0,48,0,1,0,226,5,24.955,90.3573
22,9816,16,0,0,0,12,0,0,0,16,0,15.083,-23.632
58,9882,30,0,1,0,27,0,2,0,30,0,49.2,7.6
166,9939,55,2,2,0,26,0,12,0,55,2,40.5024,-79.7495
75,9966,46,0,1,0,46,0,0,0,14,0,40.2,16.6667
138,10049,48,0,1,0,16,0,0,0,48,0,8.7667,-12.7875
166,10105,43,0,1,0,43,0,2,0,39,0,41.695,-73.9211
166,10397,52,2,1,0,44,0,4,0,52,2,39.3723,-76.8024
155,10407,36,0,0,0,16,0,0,0,36,0,9.9619,98.6389
58,10423,39,0,0,0,39,0,0,0,23,0,52.6,12.3333
130,10532,58,2,1,0,25,0,9,0,58,2,55.7622,37.8567
166,10559,56,2,1,0,21,0,6,0,56,2,32.9716,-96.7093
166,10562,76,2,2,0,15,0,17,0,76,2,37.5295,-77.4756
121,10610,25,0,1,0,3,0,0,0,25,0,-6.05,-77.1417
54,10611,40,0,1,0,30,0,1,0,40,0,45.8936,3.1125
75,10655,47,0,1,0,47,0,2,0,27,0,41.7833,12.7667
54,10675,42,0,1,0,31,0,1,0,42,0,44.3506,2.575
122,10697,50,0,1,0,23,0,0,0,50,0,12.55,122.28
166,3109,62,2,1,0,18,0,13,0,62,2,37.6862,-122.4685
22,3211,25,0,0,0,9,0,1,0,25,0,-9.3858,-37.9958
130,3248,34,0,1,0,34,0,0,0,10,0,54.15,33.2833
159,3260,46,0,1,0,29,0,0,0,46,0,38.3886,35.4925
162,3338,39,0,1,0,39,0,0,0,12,0,47.3907,35.0027
17,3352,101,4,3,0,18,0,2,0,101,4,6.8167,1.7833
166,3469,60,2,1,0,22,0,3,0,60,2,35.8613,-101.9642
166,3504,93,2,1,0,24,0,5,0,93,2,36.0465,-89.3777
166,3557,28,0,1,0,28,0,8,0,25,0,40.2913,-74.0558
166,3622,39,0,1,0,22,0,1,0,39,0,29.2,-96.2723
166,3685,44,0,1,0,27,0,10,0,44,0,39.2774,-76.8345
77,3712,42,0,1,0,42,0,0,0,12,0,35.4492,137.4128
75,4384,62,2,1,0,32,0,4,0,62,2,45.7,9.2167
164,4407,35,0,1,0,22,0,6,0,35,0,56.198,-3.178
164,4414,27,0,1,0,25,0,3,0,27,0,53.443,-1.949
107,4422,19,0,0,0,18,0,0,0,19,0,-22.4333,18.9667
69,4423,175,3,1,0,51,1,1,0,175,3,24.782,85.6943
146,4427,33,0,1,0,33,0,1,0,28,0,39.52,-0.4114
22,4436,37,0,1,0,3,0,3,0,37,0,-18.0128,-49.3569
109,4437,30,0,0,0,30,0,2,0,27,0,51.5167,5.0667
166,4445,61,2,1,0,10,0,16,0,61,2,25.9129,-80.2013
1,4510,68,2,1,0,39,0,1,0,68,2,40.8667,20.1833
166,4525,57,2,2,0,21,0,11,0,57,2,41.7374,-86.1348
166,4530,29,0,1,0,29,0,2,0,27,0,42.4333,-123.3317
174,4531,30,0,1,0,30,0,3,0,25,0,48.8381,-1.5869
100,4650,35,0,1,0,22,0,1,0,35,0,25.5744,-108.4706
58,4663,37,0,1,0,21,0,4,0,37,0,51.9533,14.7167
28,4672,76,2,3,0,8,0,1,0,76,2,9.9342,13.9486
33,4677,90,2,3,0,46,0,3,0,90,2,25.2819,110.2864
54,4678,34,0,1,0,26,0,9,0,34,0,48.4336,-4.4008
166,4059,65,2,1,0,30,0,1,0,65,2,30.4255,-86.6222
54,4068,29,0,0,0,28,0,2,0,29,0,49.0981,2.5067
166,4074,37,0,1,0,27,0,8,0,37,0,33.6073,-111.7398
166,4073,72,2,1,0,29,0,3,0,72,2,38.6886,-104.6829
22,4086,169,3,7,0,0,0,21,0,169,3,-23.2817,-46.7425
58,4118,36,0,1,0,25,0,3,0,36,0,50.9119,13.3428
166,4145,46,0,1,0,37,0,2,0,46,0,38.926,-78.1838
58,4191,29,0,0,0,29,0,2,0,26,0,48.8039,8.3194
74,4225,77,2,1,0,43,0,6,0,77,2,31.7886,34.7053
75,4303,53,2,1,0,38,0,2,0,53,2,37.0667,14.25
109,4323,30,0,0,0,25,0,3,0,30,0,51.7,5.9667
58,4326,31,0,0,0,30,0,1,0,31,0,52.4,12.1667
64,4330,27,0,0,0,19,0,0,0,27,0,6.8058,-58.1508
58,4331,30,0,0,0,28,0,2,0,30,0,50.8806,12.0833
166,6692,25,0,0,0,24,0,2,0,25,0,29.0516,-95.4521
166,6704,57,2,2,0,22,0,14,0,57,2,30.1356,-81.7674
155,6716,66,2,1,0,28,0,1,0,66,2,13.9297,100.7375
109,6943,33,0,0,0,33,0,1,0,26,0,52.1333,5.4333
164,6955,37,0,1,0,12,0,13,0,37,0,50.8747,0.0117
122,6965,50,0,1,0,20,0,0,0,50,0,8.633,126.0932
54,6977,46,0,1,0,26,0,2,0,46,0,44.92,-0.24
41,7065,49,0,1,0,24,0,2,0,49,0,49.7012,17.0762
15,7124,31,0,0,0,31,0,2,0,31,0,51.1,3.9833
15,7139,34,0,0,0,29,0,3,0,34,0,51.0,4.3
135,7193,176,3,2,0,21,0,3,0,176,3,15.6167,-16.2167
123,7222,35,0,1,0,20,0,3,0,35,0,51.4,16.2
123,7223,32,0,1,0,32,0,1,0,28,0,51.25,22.5667
122,7230,32,0,1,0,29,0,0,0,32,0,13.9333,121.6167
87,7364,117,4,4,0,14,0,7,0,117,4,-29.8167,27.25
166,7379,56,2,1,0,25,0,2,0,56,2,33.2775,-93.2261
69,7397,171,3,1,0,36,0,0,0,171,3,24.262,80.761
166,7405,53,2,1,0,18,0,14,0,53,2,28.6295,-81.3718
54,7428,40,0,1,0,26,0,3,0,40,0,48.8169,2.2944
17,7433,34,0,1,0,18,0,1,0,34,0,11.8667,3.3833
75,7453,69,2,1,0,22,0,6,0,69,2,45.8,8.8833
43,7538,74,2,2,0,23,0,1,0,74,2,-7.2947,27.4545
169,7569,118,4,1,0,17,0,4,0,118,4,10.6333,-71.6333
58,4742,30,0,0,0,30,0,1,0,25,0,51.3667,7.4833
54,4772,35,0,0,0,28,0,2,0,35,0,50.7836,3.1256
58,4781,34,0,0,0,28,0,2,0,34,0,53.55,10.0
166,4795,73,2,2,0,35,0,8,0,73,2,32.9302,-80.0027
23,4826,40,0,1,0,40,0,1,0,24,0,41.9333,25.9
116,4844,500,1,1,0,43,0,0,0,443,1,29.613,73.1409
58,4870,28,0,0,0,27,0,2,0,28,0,51.3992,7.1858
166,4875,52,2,1,0,27,0,12,0,52,2,40.8211,-73.2109
166,4894,70,2,2,0,20,0,20,0,70,2,37.6328,-122.0766
53,4925,33,0,0,0,33,0,0,0,5,0,61.2,26.0333
